time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.151673610973819e-07,3.092140654184231e-06,10.008850597931056,0.0014401429112433917,0.00035801623318043596,0.0,-4.333071986216311e-05,0.00022529457653518135,0.2949901318852467,0.05063748073719275,0.01581665025076301,0.0,494.7440906342296,495.9069744241505,492.646595616997,496.37605519699866
0.12000000000000001,-1.5521571040753118e-05,6.32766526441136e-05,10.032041449764453,0.004740082969311388,0.0008921608413876569,0.0,-0.0005483897028708076,0.0021443148446293587,0.4779780344086458,0.06253862229527378,-0.010854579633605721,0.0,463.46789149907465,461.3671650547828,462.31201175722776,463.2505026828512
0.18,-6.512857463785233e-05,0.00030528517202680494,10.063847827253701,0.008834016499710273,0.000771945260604312,0.0,-0.0010698304601054062,0.006326977343378115,0.5821842444255564,0.07769896515010498,0.011525311608151739,0.0,436.53823288391175,438.40148802616267,438.88302442643004,440.1428225175178
0.23999999999999996,-0.0001465957436697014,0.0008718776967081138,10.100393940017417,0.013584820084020066,0.00133640708995042,0.0,-0.0017058422930739945,0.013007192381572566,0.6359859728906739,0.08198724196346588,0.0047949606314539395,0.0,422.08740664644915,421.5061390829491,422.7416811433458,423.1163409504463
0.3,-0.000282697102823338,0.0020052409614533533,10.145240137436932,0.018520057836639126,0.0015035089048209827,0.0,-0.0028584134898028577,0.025361681398481245,0.8587372132795761,0.08278180592997439,-0.001573072158000724,0.0,474.5786297182623,474.08961155616885,475.085624071349,475.1515494761615
0.36000000000000004,-0.0004872971086333791,0.003960904480269362,10.201417366887922,0.0236741474988742,0.0013117624297809272,0.0,-0.003945879576771878,0.040382693381698406,1.0137006542155393,0.09150312767077737,-0.006656765342391841,0.0,455.5265356340738,455.11994563171885,453.9554911940945,454.66056110992724
0.4200000000000001,-0.0007473286711527101,0.006849468908238554,10.263435812689822,0.029153005917704533,0.0007877298962863932,0.0,-0.004679135220945336,0.05641240431219299,1.0535313311749037,0.09093424411937441,-0.013250443145684236,0.0,419.06515953547876,418.4917978051198,418.23987680813093,418.19791238011493
0.48000000000000015,-0.001043329539810393,0.010942446402743949,10.332465166329111,0.03456019674441979,6.282701835793512,0.0,-0.005078037950926708,0.08064365812193697,1.2472355051022057,0.08844040324622118,-0.045987544259306665,0.0,467.67537710163685,465.1187016034505,467.52550632885453,467.3375419911277
0.5400000000000001,-0.0013270575701783938,0.016531207729591667,10.41074138655918,0.03954264719880296,6.279533647437788,0.0,-0.004076744394877015,0.10618252910699474,1.3618207669093434,0.06914843783351353,-0.07211701883919393,0.0,444.55891577653716,442.4108618480038,443.719888428984,442.13898134844374
0.6000000000000002,-0.0014681818456670436,0.023841641240806555,10.49808478899439,0.04385855291899521,6.275469525831937,0.0,-0.00014715571989008412,0.13797560924784952,1.5493663521840926,0.07698394100037986,-0.060166288069171854,0.0,465.6634617218272,466.5940176893504,465.28941400110324,465.9060928033921
0.6600000000000003,-0.0013017236304828802,0.03305469173879235,10.594269076449972,0.04888420391945747,6.2715286426895815,0.0,0.006080614866437748,0.16961825194672314,1.6565983086727643,0.09469346534794773,-0.07997471677134814,0.0,442.8822323501077,441.24673911315,440.803679316393,442.2702619306865
0.7200000000000003,-0.0006470462001467008,0.044384342257841734,10.69907561798703,0.0545590519076713,6.266435153810614,0.0,0.016299407317533262,0.20866822393884826,1.8366369387944899,0.09435468172870773,-0.0971858697725097,0.0,466.12156241000275,464.7689778189576,463.6994025340128,463.6799785581258
0.7800000000000004,0.0007006479444183982,0.058058014670408685,10.812323963858786,0.061157213461154214,6.2607041025911165,0.0,0.0292122610202065,0.24774724293229763,1.9380888839266879,0.13036934151228463,-0.09237604687596417,0.0,440.9722943113669,441.3615553127684,439.4821058358726,442.46703155484073
0.8400000000000004,0.0029056493743535297,0.07412749886912809,10.930168575133704,0.06955604762151157,6.254616226968352,0.0,0.044824449420687404,0.2886682075611604,1.9899063159590675,0.15438030911212638,-0.13418281412230051,0.0,427.4712279134634,423.88325951675347,424.48397797443164,426.5580670578366
0.9000000000000005,0.006173181656268718,0.09281652923008381,11.05109354405014,0.0788117215186146,6.246920470749311,0.0,0.06483606194394116,0.3351662602962342,2.0407399107893305,0.15402231580289977,-0.11848642067302367,0.0,425.37979842058235,426.70575803487753,425.28183471449387,425.27482607205616
0.9600000000000005,0.010796970083400245,0.11449539550377981,11.175336601700417,0.08816721995865162,6.240100309712034,0.0,0.0899553899011473,0.3883418992684088,2.1004754985762175,0.15947756478162833,-0.10545781107677238,0.0,427.7048687322887,428.8008515589803,429.4982606376346,429.98454162779245
1.0200000000000005,0.01698690547461136,0.1394015638450078,11.301531137800819,0.09774360167960428,6.233486060885866,0.0,0.11694441356455926,0.4426986943725627,2.1058812185316187,0.15986237967432784,-0.12209284989660514,0.0,412.21366515703886,410.7290328174028,411.3339270859487,411.39443867436046
1.0800000000000005,0.02513773172586017,0.16816898824392487,11.432336551562939,0.1068606247742343,6.226991135509186,0.0,0.15548194735187607,0.5172074536683441,2.2538525582923814,0.12733771685453313,-0.08945630122004744,0.0,456.7653247441881,459.3499641881911,458.5928954478163,456.02252830041886
1.1400000000000006,0.03573708282250323,0.20159729191052103,11.571978435242913,0.11400845276966276,6.221947991947955,0.0,0.19837888180922433,0.5978408691840364,2.4004293466230537,0.09279321813413637,-0.07499394125585691,0.0,457.33390359158255,458.4786918208485,459.8153335355454,457.08229182594096
